AISelect,RemoteWork,EdLevel,YearsCodePro,ConvertedCompYearly,JobSat
Yes,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.715162559754898,106220.2610463932,7.0
"No, but I plan to soon","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5.6355683898051305,102295.99998374248,6.0
"No, but I plan to soon","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.334123487059085,59656.41897501636,7.0
"No, and I don't plan to",In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.847514714607291,90274.59736711193,7.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.4177756258146608,92414.44633676922,8.0
Yes,In-person,Primary/elementary school,10.984034637554679,81293.34027120034,10.0
"No, and I don't plan to","Hybrid (some remote, some in-person)",Primary/elementary school,8.154615723229936,89699.13524744356,7.0
Yes,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.299105071687874,109751.14393566428,7.0
Yes,Remote,Primary/elementary school,11.769986236125884,121024.74201717711,7.0
"No, and I don't plan to","Hybrid (some remote, some in-person)",Primary/elementary school,6.5195454271545215,76559.5001719507,5.0
"No, but I plan to soon",In-person,Primary/elementary school,6.270316011390332,81944.70658770259,7.0
"No, and I don't plan to",In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5.061484943984142,75262.86776267995,5.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.37226803570374,58961.07805023518,5.0
Yes,In-person,Primary/elementary school,8.23380043332606,102718.10638795819,9.0
"No, and I don't plan to",Remote,Primary/elementary school,4.334863197960374,64665.96510313623,7.0
"No, but I plan to soon",In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.2892240915464,66439.95175544266,8.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.361590925923068,123540.11754453054,9.0
Yes,In-person,Primary/elementary school,4.180526184738039,104421.0774408765,5.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1.0,41247.41909528419,6.0
"No, and I don't plan to",Remote,Primary/elementary school,6.076358985273778,81466.7993969458,8.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1.0,80370.37913346487,4.0
"No, and I don't plan to",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.148737254641956,50577.59308010683,7.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.549221416489566,88077.0220788208,7.0
Yes,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11.207580229062417,112087.62168751087,4.0
"No, and I don't plan to",In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.940260774761433,46173.51947417968,6.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.955254460742098,74536.64518178078,5.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.47390344323371,90902.35790908986,4.0
"No, but I plan to soon",Remote,Primary/elementary school,4.679425393988896,93998.70275024843,6.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.477019189687503,110929.10563951707,4.0
Yes,In-person,Primary/elementary school,2.445730507801522,117084.73230433202,6.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.482382004056632,43318.83571324689,10.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.328260996657626,89492.16413551863,7.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.524733372168026,70652.15200364025,5.0
"No, and I don't plan to",Remote,Primary/elementary school,5.479033776279187,75529.35777943065,9.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1.0,50671.39874842456,4.0
Yes,Remote,Primary/elementary school,6.399583113657981,101001.70274366134,7.0
Yes,In-person,Primary/elementary school,12.40811390472286,112525.18795499709,5.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.128749629721709,87060.86103362824,8.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.945671449439731,,9.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2.7479280336920135,109604.64057966534,6.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2.337313638845341,,4.0
Yes,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.072166594536396,70220.65248280157,9.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1.2944843108743687,83792.51111481174,10.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.125448889450041,87518.92117770518,3.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3.6134150045345512,83715.96882232801,8.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.901370877074025,107453.12037948603,8.0
"No, and I don't plan to",Remote,Primary/elementary school,1.0,76248.40760569269,5.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5.424792526225973,77104.58292298058,5.0
Yes,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2.2565578114791878,,9.0
Yes,In-person,Primary/elementary school,1.0,66308.33495892145,8.0
"No, and I don't plan to",In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.16736835734527,96038.72196682238,7.0
Yes,Remote,Primary/elementary school,13.564638156366293,114991.66614123949,6.0
"No, and I don't plan to",Remote,Primary/elementary school,11.517894357375784,95751.40244634337,5.0
Yes,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.72676275961522,100989.51824350079,3.0
Yes,In-person,Primary/elementary school,5.343515328217817,88110.51091522239,7.0
Yes,Remote,Primary/elementary school,10.223560914191305,132352.2282885916,10.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11.895412794294913,148495.43725154805,6.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.547287318685173,87071.88702153525,3.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2.262559310751909,61419.41089037813,7.0
"No, but I plan to soon",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5.002462805634516,48574.068406375554,7.0
Yes,In-person,Primary/elementary school,13.810785953391745,107931.4778397005,6.0
Yes,In-person,Primary/elementary school,6.7010233273993345,92552.54110910908,7.0
"No, and I don't plan to",In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1.0,47774.05169043861,7.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1.1243061453192258,65786.56006553845,7.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,5.302205187430075,113188.56026684774,9.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.143300953670272,110433.41554392318,10.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,5.907510590372352,93449.4669373323,4.0
"No, but I plan to soon",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.21772661989304,84149.18476455224,8.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4.895350585810043,89796.89792187893,6.0
"No, and I don't plan to",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1.0,55311.32058017148,9.0
Yes,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5.033755365607662,80805.18880236398,9.0
Yes,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.37978000618514,76617.96776200637,8.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.047801397365253,98250.7761845079,9.0
Yes,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1.9795690029734576,69647.62148374607,7.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.595215192784939,,6.0
"No, and I don't plan to","Hybrid (some remote, some in-person)",Primary/elementary school,17.738696952256298,144743.91971292632,8.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2.066924694812493,43705.02901034961,5.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.642893577854995,87917.82895427753,9.0
"No, but I plan to soon",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1.0,54355.205473103284,6.0
"No, and I don't plan to",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.455167298278647,79352.51711306119,2.0
"No, and I don't plan to",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.430698439246213,70268.69317266245,5.0
"No, and I don't plan to",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.60835303281176,,7.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,1.8338975929271948,81626.62668357407,7.0
Yes,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.163411200706829,114813.34202717841,3.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.3653988170342477,66815.57320458726,10.0
"No, and I don't plan to",In-person,Primary/elementary school,4.139807268133499,84417.49377562823,7.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,8.767944025580123,90758.01787472778,8.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.278458094411935,121701.84606767341,7.0
Yes,Remote,Primary/elementary school,8.521525792865246,125139.97976876918,8.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.236634725426597,91132.01650069957,10.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.2699747249891,,5.0
"No, and I don't plan to",In-person,Primary/elementary school,8.780345885413608,,9.0
Yes,Remote,Primary/elementary school,5.599926181635436,103704.16916684198,8.0
Yes,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.0158008559929037,81099.26149801769,6.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,4.870750936280839,101950.6315632623,10.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.780556719333745,145295.38305710274,8.0
Yes,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.464692336306198,85570.67909632984,9.0
Yes,Remote,Primary/elementary school,3.6204061863581054,65219.34799588205,7.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.606242433550875,104010.25203541745,6.0
"No, and I don't plan to",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.873262339756554,103227.8123609324,7.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.079996303191242,72673.082714383,9.0
Yes,In-person,Primary/elementary school,3.0886511985148575,,7.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4.27043602285642,106497.18099756232,7.0
"No, and I don't plan to",In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.292683134451954,45531.223393226246,9.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.557408351735233,93980.6986526598,7.0
"No, and I don't plan to",In-person,Primary/elementary school,9.155676740574938,78943.3221880305,7.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.184739218924054,85508.93613080373,8.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,8.50086782862865,111399.8017589556,7.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.416076569486092,117768.39561152269,8.0
"No, and I don't plan to",Remote,Primary/elementary school,9.75556372996652,73991.137023205,7.0
Yes,In-person,Primary/elementary school,6.43279350001565,85996.08517655259,7.0
"No, and I don't plan to",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.264459295790002,84324.502240132,8.0
"No, but I plan to soon","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.141811966116519,74430.33529026929,5.0
"No, and I don't plan to","Hybrid (some remote, some in-person)",Primary/elementary school,5.9531797292870925,88440.91596627755,5.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.316519309344455,110862.24723545123,5.0
"No, and I don't plan to",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.890672263575627,91254.09394614349,5.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.375216180446227,80371.06528250196,6.0
Yes,Remote,Primary/elementary school,4.0684284570910965,73726.8248983073,7.0
"No, but I plan to soon","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.721687164315095,89981.37081282354,7.0
Yes,Remote,Primary/elementary school,10.5599502488684,124870.43602772274,4.0
"No, but I plan to soon",In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13.36407722310047,88060.05061890201,3.0
"No, but I plan to soon",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.176925607881329,67980.06745622873,5.0
Yes,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.821027276949607,92425.19904586003,8.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.144233175370468,102802.18518853637,8.0
Yes,In-person,Primary/elementary school,14.756770276397866,131095.72779491643,6.0
Yes,Remote,Primary/elementary school,1.3959886473756642,56024.65781782652,10.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.686649247122201,110508.53049108518,6.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5.538656187950117,,7.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.602534024638723,69509.82574617658,7.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.5599857124562932,78388.07124017611,6.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",16.640194597628536,108890.11949760428,5.0
Yes,In-person,Primary/elementary school,7.885966493113577,93176.39487164014,9.0
"No, and I don't plan to",In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.085121748416253,73687.20560872971,7.0
Yes,In-person,Primary/elementary school,10.54692943821817,129985.15625899563,9.0
Yes,Remote,Primary/elementary school,4.396669097480148,80932.79509967279,8.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.007383820924023,80270.90921773805,3.0
"No, and I don't plan to",In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.2253451472484835,79407.23733121876,10.0
"No, and I don't plan to",Remote,Primary/elementary school,4.951417070607468,,7.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.798552316743656,97487.50409411828,7.0
"No, and I don't plan to",Remote,Primary/elementary school,6.125382354016383,77419.0971805238,6.0
Yes,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1.0,75696.34790348823,10.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.794010545916505,78390.53977926145,6.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.996714686855589,,7.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.4260270644495665,78395.92285582135,2.0
"No, but I plan to soon",In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.7416208273182443,65398.42342491325,7.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,4.814963847495838,90279.10215525431,6.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11.884942640267841,115102.85425183277,8.0
"No, and I don't plan to",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.051367909417175,78940.71464396887,9.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.716468074204123,123887.4019849216,9.0
"No, but I plan to soon",In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4.540198247406657,68278.43471968498,8.0
"No, and I don't plan to",Remote,Primary/elementary school,8.300056545026168,70380.16836121015,8.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5.215029303120995,70971.87263080034,7.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.016332681161888,105322.460575112,7.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.526903381738883,75397.91855565208,3.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.971437918308926,115640.50297914413,6.0
"No, but I plan to soon",Remote,Primary/elementary school,7.455477601238735,93262.22452227568,9.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.440032732890204,84116.77481072738,7.0
"No, and I don't plan to",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.3351140611593975,67799.75294757464,3.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13.135419764128699,,10.0
"No, and I don't plan to",In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.551378019523134,,7.0
Yes,Remote,Primary/elementary school,4.189087936349445,103844.18810547802,9.0
Yes,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2.181226868687549,,6.0
"No, but I plan to soon",Remote,Primary/elementary school,9.02161709372399,102398.54586619727,7.0
Yes,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.783380988042742,95438.54600243983,8.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.780082780352894,95086.67160759876,6.0
"No, but I plan to soon",In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1.151101041240631,42613.38168109005,6.0
"No, but I plan to soon",In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2.3109581884339994,54266.038304702735,3.0
"No, and I don't plan to",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.587516797007599,116829.89053312095,6.0
"No, and I don't plan to",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.325366587117362,67875.63185821359,8.0
Yes,In-person,Primary/elementary school,9.133603404950247,134718.8142395206,6.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,3.149251871568187,69413.270138444,10.0
Yes,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.0760512066843257,93015.42878316382,5.0
"No, and I don't plan to",In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.965034632768354,,6.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.153510619060594,89228.8934288193,5.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2.646722051883785,,6.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1.8825180165886195,60112.9183167916,9.0
Yes,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.565628117150223,76605.40846453572,6.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.802606186495975,59085.4651562243,7.0
Yes,Remote,Primary/elementary school,3.719292483815898,85811.50386661738,9.0
Yes,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1.9944870142904296,,8.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5.126264606878533,114207.15386594959,8.0
"No, and I don't plan to",In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2.381221029468537,78334.59932953221,4.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.6183963879630534,105625.87007792223,7.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.193567386265219,89464.24228430979,10.0
Yes,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.779207062850494,96769.29082194604,5.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.939514726128527,46978.23714623406,5.0
"No, and I don't plan to",In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1.0,54272.96428969914,3.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.039522439319053,97115.8037579869,8.0
Yes,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.302550168663352,126869.64675584831,10.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5.5109100628576035,73652.65906187652,6.0
Yes,Remote,Primary/elementary school,10.298996026289192,108045.37466828719,6.0
"No, and I don't plan to",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.264027395097694,50225.45637039075,4.0
"No, and I don't plan to","Hybrid (some remote, some in-person)",Primary/elementary school,10.460794432005102,95456.10805324755,6.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,7.666646748229291,105084.8619977531,7.0
Yes,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.264343930976857,123495.58479785176,9.0
"No, but I plan to soon","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.796054480052021,94817.26156933603,5.0
Yes,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.541784113257432,102435.18839570244,8.0
Yes,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.5303273059464146,96430.27440427704,7.0
"No, and I don't plan to",Remote,Primary/elementary school,1.0,25000.0,5.0
"No, but I plan to soon","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1.0,50775.77204059284,6.0
"No, but I plan to soon",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5.9193600304693454,64230.61040576203,7.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.375706937690577,87297.14728444736,8.0
Yes,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2.5823548899536615,47057.849931400335,7.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.695881834337616,128230.12135383744,5.0
"No, and I don't plan to",Remote,Primary/elementary school,4.990899301968455,68720.9990616259,8.0
"No, and I don't plan to",Remote,Primary/elementary school,5.028979155223684,77383.3774106669,5.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.6555720164815986,87140.870433584,8.0
"No, but I plan to soon",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1.0,77437.34842315425,6.0
Yes,Remote,Primary/elementary school,7.917256513738588,70781.14577497436,7.0
Yes,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13.850670851354277,121162.16546178717,7.0
Yes,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.749341905869747,111815.37058111702,9.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1.0,,1.0
Yes,Remote,Primary/elementary school,10.121371246465785,92155.75846555571,10.0
Yes,Remote,Primary/elementary school,1.0,65441.64826516321,6.0
Yes,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2.163862412043258,72679.38841505533,8.0
"No, and I don't plan to",In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.046647310745716,65347.515144765166,7.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.491373754160792,78927.64138355237,8.0
"No, and I don't plan to",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.965343995332688,88002.41503143944,7.0
"No, but I plan to soon","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5.890735773736078,66657.10372501404,5.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,9.860649603042738,98197.16399646459,5.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.408715539232073,114327.21314806695,7.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.005825687257058,94398.08444594157,3.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14.637674609173974,102294.08413193567,6.0
"No, but I plan to soon","Hybrid (some remote, some in-person)",Primary/elementary school,10.239557286644466,89920.62393657031,6.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.133053942383039,90982.31731238675,6.0
"No, but I plan to soon","Hybrid (some remote, some in-person)",Primary/elementary school,10.43725516449189,106165.56825729393,6.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.866864936020729,87451.74130303263,7.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.025467910105018,101323.92992669922,6.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,7.708875140286741,96513.60080950444,3.0
"No, but I plan to soon",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.351783591384374,50112.11750612038,4.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.8876143687122795,61474.975609339046,9.0
"No, and I don't plan to",Remote,Primary/elementary school,6.61152719569943,107156.17310357594,8.0
"No, but I plan to soon",Remote,Primary/elementary school,7.595640303385488,,3.0
Yes,In-person,Primary/elementary school,4.2822363082731485,100035.38882991334,6.0
"No, and I don't plan to",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.693367794434302,59804.996361398116,8.0
"No, and I don't plan to","Hybrid (some remote, some in-person)",Primary/elementary school,15.323063616156757,148196.14597600716,5.0
Yes,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1.0,87898.66942550693,7.0
"No, and I don't plan to","Hybrid (some remote, some in-person)",Primary/elementary school,9.328977910255043,83819.81947356451,9.0
"No, and I don't plan to",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.736101516436759,73983.86743969601,6.0
"No, but I plan to soon","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.80262222133862,96828.14969923011,5.0
